timestep,population,phi,delta_phi,entropy,resource_concentration,reward_drift,agent_dominance,phi_resource_contribution,phi_reward_drift_contribution,phi_dominance_contribution,dominant_lineage_id,dominant_lineage_type,dominant_lineage_count
56,6,0.256467,0.007142,0.853037,0.129845,0.168728,0.506553,0.045446,0.059055,0.151966,pp-0015,mutating,3
57,6,0.259888,0.003421,0.841664,0.14105,0.171725,0.501386,0.049368,0.060104,0.150416,pp-0015,mutating,3
58,6,0.26812,0.008232,0.824607,0.13316,0.174715,0.534548,0.046606,0.06115,0.160364,pp-0015,mutating,3
59,6,0.270404,0.002284,0.811647,0.138596,0.177699,0.532334,0.048509,0.062195,0.1597,pp-0015,mutating,3
60,6,0.274268,0.003864,0.795729,0.149346,0.180679,0.529198,0.052271,0.063238,0.158759,pp-0015,mutating,3
61,6,0.283981,0.009713,0.774599,0.145226,0.183651,0.562914,0.050829,0.064278,0.168874,pp-0015,mutating,3
62,6,0.285086,0.001105,0.757306,0.147923,0.186618,0.55999,0.051773,0.065316,0.167997,pp-0015,mutating,3
63,6,0.289307,0.004221,0.734919,0.158984,0.18958,0.557698,0.055644,0.066353,0.16731,pp-0015,mutating,3
64,6,0.301584,0.012277,0.701996,0.159997,0.192536,0.593991,0.055999,0.067388,0.178197,pp-0015,mutating,3
65,6,0.303,0.001416,0.67437,0.163208,0.195487,0.591525,0.057123,0.06842,0.177457,pp-0015,mutating,3
66,6,0.307459,0.004459,0.632196,0.175144,0.198434,0.589024,0.0613,0.069452,0.176707,pp-0015,mutating,3
67,5,0.280879,-0.02658,0.960882,0.032949,0.241643,0.615907,0.011532,0.084575,0.184772,pp-0015,mutating,3
68,5,0.270544,-0.010335,0.97634,0.013514,0.245182,0.6,0.00473,0.085814,0.18,pp-0015,mutating,3
69,5,0.285952,0.015408,0.958586,0.037502,0.248738,0.619227,0.013126,0.087058,0.185768,pp-0015,mutating,3
70,5,0.27149,-0.014462,0.973343,0.009089,0.252311,0.6,0.003181,0.088309,0.18,pp-0015,mutating,3
71,5,0.288906,0.017416,0.955697,0.035311,0.2559,0.623274,0.012359,0.089565,0.186982,pp-0015,mutating,3
72,5,0.272024,-0.016882,0.971614,0.003421,0.259507,0.6,0.001197,0.090827,0.18,pp-0015,mutating,3
73,5,0.284845,0.012821,0.967753,0.031869,0.26313,0.60532,0.011154,0.092095,0.181596,pp-0015,mutating,3
74,5,0.277057,-0.007788,0.971719,0.010536,0.266769,0.6,0.003688,0.093369,0.18,pp-0015,mutating,3
75,5,0.284107,0.00705,0.968367,0.023319,0.270425,0.604321,0.008162,0.094649,0.181296,pp-0015,mutating,3
76,5,0.281729,-0.002378,0.972291,0.016557,0.274098,0.6,0.005795,0.095934,0.18,pp-0015,mutating,3
77,5,0.284428,0.002699,0.968818,0.017512,0.277787,0.603579,0.006129,0.097225,0.181074,pp-0015,mutating,3
78,5,0.286653,0.002225,0.97275,0.023233,0.281492,0.6,0.008131,0.098522,0.18,pp-0015,mutating,3
79,5,0.283925,-0.002728,0.970748,0.011417,0.285214,0.600346,0.003996,0.099825,0.180104,pp-0015,mutating,3
80,5,0.290974,0.007049,0.974451,0.028118,0.288952,0.6,0.009841,0.101133,0.18,pp-0015,mutating,3
81,5,0.284661,-0.006313,0.972467,0.006325,0.292706,0.6,0.002214,0.102447,0.18,pp-0015,mutating,3
82,5,0.293796,0.009135,0.96924,0.026184,0.296477,0.602881,0.009165,0.103767,0.180864,pp-0015,mutating,3
83,5,0.289075,-0.004721,0.971786,0.011379,0.300263,0.6,0.003983,0.105092,0.18,pp-0015,mutating,3
84,5,0.294094,0.005019,0.969862,0.020338,0.304066,0.601843,0.007118,0.106423,0.180553,pp-0015,mutating,3
85,7,0.356432,0.062338,0.973218,0.199102,0.308381,0.596044,0.069686,0.107933,0.178813,pp-0015,mutating,4
86,7,0.360123,0.003691,0.97288,0.205737,0.311777,0.596644,0.072008,0.109122,0.178993,pp-0015,mutating,4
87,7,0.364672,0.004549,0.972412,0.214669,0.315135,0.597469,0.075134,0.110297,0.179241,pp-0015,mutating,4
88,7,0.369127,0.004455,0.966864,0.216125,0.318452,0.606751,0.075644,0.111458,0.182025,pp-0015,mutating,4
89,7,0.361997,-0.00713,0.975498,0.205211,0.321731,0.59189,0.071824,0.112606,0.177567,pp-0015,mutating,4
90,7,0.367605,0.005608,0.973734,0.215225,0.32497,0.595119,0.075329,0.11374,0.178536,pp-0015,mutating,4
91,7,0.372177,0.004572,0.967435,0.215905,0.328171,0.605835,0.075567,0.11486,0.18175,pp-0015,mutating,4
92,7,0.372367,0.00019,0.970761,0.218011,0.331332,0.600324,0.076304,0.115966,0.180097,pp-0015,mutating,4
93,7,0.371411,-0.000956,0.974443,0.217716,0.334455,0.593835,0.076201,0.117059,0.178151,pp-0015,mutating,4
94,7,0.375947,0.004536,0.967909,0.217966,0.337539,0.605068,0.076288,0.118139,0.18152,pp-0015,mutating,4
95,7,0.383117,0.00717,0.965457,0.232054,0.340584,0.608976,0.081219,0.119205,0.182693,pp-0015,mutating,4
96,7,0.383394,0.000277,0.970341,0.236645,0.343591,0.601037,0.082826,0.120257,0.180311,pp-0015,mutating,4
97,7,0.381556,-0.001838,0.976258,0.237492,0.346559,0.590461,0.083122,0.121296,0.177138,pp-0015,mutating,4
98,7,0.388138,0.006582,0.965847,0.238022,0.349489,0.608365,0.083308,0.122321,0.182509,pp-0015,mutating,4
99,7,0.387456,-0.000682,0.972859,0.243196,0.352381,0.596681,0.085119,0.123333,0.179004,pp-0015,mutating,4
100,7,0.388283,0.000827,0.980251,0.254823,0.355234,0.582542,0.089188,0.124332,0.174763,pp-0015,mutating,4
101,7,0.401176,0.012893,0.968473,0.270327,0.358049,0.604148,0.094615,0.125317,0.181244,pp-0015,mutating,4
102,7,0.408003,0.006827,0.976934,0.299893,0.360826,0.589171,0.104963,0.126289,0.176751,pp-0015,mutating,4
103,7,0.411649,0.003646,0.972747,0.300962,0.363565,0.596879,0.105337,0.127248,0.179064,pp-0015,mutating,4
104,6,0.394523,-0.017126,0.965979,0.188442,0.367338,0.666667,0.065955,0.128568,0.2,pp-0015,mutating,4
105,6,0.396377,0.001854,0.970021,0.19101,0.370067,0.666667,0.066854,0.129523,0.2,pp-0015,mutating,4
106,6,0.377647,-0.01873,0.957452,0.134783,0.372781,0.666667,0.047174,0.130473,0.2,pp-0015,mutating,4
